OBJECTID,Geo_ID,Geo_Type,Geo_Name,Geo_Short_Name,Suppressed,Shape__Area,Shape__Length,Label
251,csa_unincorp_covina,Unincorporated Los Angeles County,Unincorporated - Covina (Charter Oak),Covina (Charter Oak) (Unincorporated),1,36590585.0439453,100016.701850393,Covina (Charter Oak) (Unincorporated)
252,csa_unincorp_del_aire,Unincorporated Los Angeles County,Unincorporated - Del Aire,Del Aire (Unincorporated),1,15439994.7832031,17350.9932025628,Del Aire (Unincorporated)
253,csa_unincorp_del_rey,Unincorporated Los Angeles County,Unincorporated - Del Rey,Del Rey (Unincorporated),1,1353153.92578125,5303.65531899047,Del Rey (Unincorporated)
254,csa_unincorp_del_sur,Unincorporated Los Angeles County,Unincorporated - Del Sur,Del Sur (Unincorporated),1,947241620.178711,360761.774096924,Del Sur (Unincorporated)
255,csa_unincorp_desert_view_highlands,Unincorporated Los Angeles County,Unincorporated - Desert View Highlands,Desert View Highlands (Unincorporated),1,12359061.3232422,24357.6833723938,Desert View Highlands (Unincorporated)
256,csa_unincorp_duarte,Unincorporated Los Angeles County,Unincorporated - Duarte,Duarte (Unincorporated),1,9844019.625,15381.6031366308,Duarte (Unincorporated)
257,csa_unincorp_east_covina,Unincorporated Los Angeles County,Unincorporated - East Covina,East Covina (Unincorporated),1,10429326.6582031,22627.0163018047,East Covina (Unincorporated)
258,csa_unincorp_east_la_mirada,Unincorporated Los Angeles County,Unincorporated - East La Mirada,East La Mirada (Unincorporated),1,18015709.703125,19143.1397055579,East La Mirada (Unincorporated)
259,csa_unincorp_east_lancaster,Unincorporated Los Angeles County,Unincorporated - East Lancaster,East Lancaster (Unincorporated),1,90886831.0732422,111434.572503056,East Lancaster (Unincorporated)
260,csa_unincorp_east_rancho_dominguez,Unincorporated Los Angeles County,Unincorporated - East Rancho Dominguez,East Rancho Dominguez (Unincorporated),1,23018840.3535156,49789.9886086098,East Rancho Dominguez (Unincorporated)
261,csa_unincorp_east_whittier,Unincorporated Los Angeles County,Unincorporated - East Whittier,East Whittier (Unincorporated),1,12561807.7587891,15638.1515901259,East Whittier (Unincorporated)
262,csa_unincorp_el_camino_village,Unincorporated Los Angeles County,Unincorporated - El Camino Village,El Camino Village (Unincorporated),1,31861072.8085938,26619.1945584592,El Camino Village (Unincorporated)
